orden;jinete;caballo
1;MARIA VIGO ;PENVERN DU QUINQUIS 
2;EUGENIA MTNEZ DE VIERNA;CASKIO DE MONTEMEAO
3;DIEGO CRESPO;SARAIBA
4;TAMARA YAÑEZ;SCHUFRO DA XESTEIRA
5;ADRIAN ARENAS;INCIO DO SOUTO
6;VICTOR PANTIN;HACHE
7;SARA MOUCO;UTIS
8;MANUEL RAMOS;BOGUITAR CARLOTA
9;DANIEL PARDO;RIVAGE DES MERVEILLES
10;MARTA CARRO CAUDAL;AZAFRAN
11;SOFIA CORREDOIRA;BINIAC
12;MIRIAM VILARIÑO;CENTURION
13;MARTA BRAÑAS;ARRAYAN
14;ALEJANDRA VISO;CONTENTA
15;DIEGO VAZQUEZ GLEZ;COTO 50 %
16;JOSE LUIS MILAN DOPICO;HALOA DOS ÁNXELES
17;MARIA HONRUBIA;HAPPY
18;MANUELA LOPEZ BARREIRO;KHAN DE QUIJAS
19;MARIA ROMERO;ROMA
20;MARIA GARCIA PAZ;GOGO
21;CARLOS PÉREZ YAÑEZ;COCONUT GROVE
22;PAULA BAÑA;MONTERREI
23;CARMEN ANTELO;BINIAC
24;JULIETTE CHERUY;INCIO DO SOUTO
25;MARIO MONTOYA;JACK
26;PAULA ALONSO;UTIS
27;ANTONIO CASTELEIRO;ZOTE DE LA CROUPE
28;CHANTAL RODRIGUEZ ;ASKARI
29;SARA BLANCO;NENA
30;NOA AMIL;PICOBELLO
31;JULIA GRANDAL;REZA DU TER
32;JONATAN BLANCO;VAMKELLY
33;ALFONSO PIÑEIRO;XINA DO VAU
34;VICTOR PANTIN;NIPON
35;LUCIA GIRALDEZ;MARISOL
36;MARIA GARCIA SUAREZ;KYRA
37;SARA GAGO;CALVINO TINTO Z
38;NOA GCIA ABELEDO;NORDICA
39;EUGENIA MTNEZ DE VIERNA;MOONBREAKER
40;ZELTIA MENDEZ;RAFI
41;LAURA RODRIGUEZ;JACK
